"attended_clean","interview_date_mo","client_name_clean","industry_clean","location_clean","position_to_be_closed_clean","gender_clean","current_location_clean","job_location_clean","interview_venue_clean","marital_clean","interview_type_clean","candidate_native_location_clean","skillset_clean","q_start_time_clean","q_unsch_mtgs_clean","q_call_3hrs_clean","q_alt_number_clean","q_resume_clean","q_venue_clean","q_call_letter_clean","q_total","name","fold","interview_date_mo_te","industry_clean_te","location_clean_te","position_to_be_closed_clean_te","gender_clean_te","current_location_clean_te","job_location_clean_te","interview_venue_clean_te","marital_clean_te","interview_type_clean_te","candidate_native_location_clean_te","skillset_clean_te","q_start_time_clean_te","q_unsch_mtgs_clean_te","q_call_3hrs_clean_te","q_alt_number_clean_te","q_resume_clean_te","q_venue_clean_te","q_call_letter_clean_te","q_total_te"
"1","4","STANDARD CHARTERED BANK","BFSI","BANGALORE","ROUTINE","MALE","BANGALORE","BANGALORE","BANGALORE","SINGLE","WALKIN","BANGALORE","FRESHER","1","1","1","1","1","1","1","7","Candidate 188",2,0.6672583354825843,0.6490329441988185,0.7082535006719477,0.6392061606203893,0.6457073525055682,0.7082535006719477,0.7039389649402997,0.7097240889072418,0.663979408056178,0.595930985458966,0.7180574222405752,0.7097240889072418,0.7194746558006659,0.7018638268985082,0.6900696612614535,0.705954687576865,0.7057593311979907,0.7028808217990741,0.7035566880261845,0.730381365902547
"1","4","STANDARD CHARTERED BANK","BFSI","BANGALORE","ROUTINE","MALE","BANGALORE","BANGALORE","BANGALORE","SINGLE","WALKIN","BANGALORE","FRESHER","1","1","1","1","1","1","1","7","Candidate 189",1,0.6580726567904154,0.6273978101646486,0.674040720662671,0.6088817182790885,0.6345511514140714,0.674040720662671,0.6789059901237487,0.68172857076891,0.6325669399918227,0.5528094988956785,0.705691704409463,0.6580726567904154,0.7098933850817319,0.7021497917766413,0.6971673069961767,0.7012180986832477,0.7009495585884791,0.7015509176599807,0.7062906861405203,0.7222593818086502
"1","4","STANDARD CHARTERED BANK","BFSI","BANGALORE","ROUTINE","FEMALE","BANGALORE","BANGALORE","BANGALORE","MARRIED","WALKIN","BANGALORE","FRESHER","1","1","1","1","1","1","1","7","Candidate 191",2,0.6536109734887946,0.6353855822050288,0.694606138678158,0.6255587986265996,0.6241759004671712,0.694606138678158,0.69029160294651,0.6960767269134521,0.5969735878999992,0.5822836234651763,0.7044100602467855,0.6960767269134521,0.7058272938068763,0.6882164649047186,0.6764222992676638,0.6923073255830753,0.692111969204201,0.6892334598052844,0.6899093260323949,0.7167340039087573
"1","4","STANDARD CHARTERED BANK","BFSI","BANGALORE","ROUTINE","MALE","BANGALORE","BANGALORE","BANGALORE","SINGLE","WALKIN","BANGALORE","FRESHER","1","1","1","1","1","1","1","7","Candidate 192",1,0.6635011319319407,0.6328262853061739,0.6794691958041963,0.6143101934206139,0.6399796265555967,0.6794691958041963,0.6843344652652741,0.6871570459104354,0.637995415133348,0.5582379740372039,0.7111201795509884,0.6635011319319407,0.7153218602232573,0.7075782669181666,0.702595782137702,0.706646573824773,0.7063780337300044,0.706979392801506,0.7117191612820456,0.7276878569501756
"1","4","STANDARD CHARTERED BANK","BFSI","BANGALORE","ROUTINE","MALE","BANGALORE","BANGALORE","BANGALORE","SINGLE","WALKIN","BANGALORE","FRESHER","1","1","1","1","1","1","1","7","Candidate 195",0,0.6196077201495299,0.6429440817211857,0.6489928099373042,0.6272446155619764,0.6326799760789287,0.6489928099373042,0.6424305429723528,0.6553287558705656,0.6483717026410188,0.5742572849685863,0.6840326101558153,0.6868749874167972,0.7349475497750738,0.7163267098816201,0.7064094246618176,0.7179860985279083,0.7172843441419434,0.715091361685803,0.7272925862236578,0.7545493443512974
"1","4","STANDARD CHARTERED BANK","BFSI","BANGALORE","ROUTINE","MALE","BANGALORE","BANGALORE","BANGALORE","SINGLE","WALKIN","BANGALORE","FRESHER","1","1","1","1","1","1","1","7","Candidate 196",1,0.6712891475359598,0.640614300910193,0.6872572114082154,0.622098209024633,0.6477676421596158,0.6872572114082154,0.6921224808692932,0.6949450615144545,0.6457834307373671,0.566025989641223,0.7189081951550075,0.6712891475359598,0.7231098758272764,0.7153662825221857,0.7103837977417211,0.7144345894287921,0.7141660493340235,0.7147674084055251,0.7195071768860647,0.7354758725541947
"1","4","STANDARD CHARTERED BANK","BFSI","BANGALORE","ROUTINE","MALE","BANGALORE","BANGALORE","BANGALORE","SINGLE","WALKIN","BANGALORE","FRESHER","1","1","1","1","1","1","1","7","Candidate 197",1,0.6684164611498514,0.6377416145240846,0.684384525022107,0.6192255226385246,0.6448949557735074,0.684384525022107,0.6892497944831848,0.6920723751283461,0.6429107443512587,0.5631533032551146,0.7160355087688991,0.6684164611498514,0.720237189441168,0.7124935961360773,0.7075111113556127,0.7115619030426837,0.7112933629479151,0.7118947220194167,0.7166344904999563,0.7326031861680863
"1","4","STANDARD CHARTERED BANK","BFSI","BANGALORE","ROUTINE","MALE","BANGALORE","BANGALORE","BANGALORE","SINGLE","WALKIN","BANGALORE","FRESHER","1","1","1","1","1","1","1","7","Candidate 198",1,0.6743739978472392,0.6436991512214724,0.6903420617194947,0.6251830593359123,0.6508524924708952,0.6903420617194947,0.6952073311805725,0.6980299118257338,0.6488682810486465,0.5691108399525023,0.7219930454662868,0.6743739978472392,0.7261947261385557,0.7184511328334651,0.7134686480530005,0.7175194397400715,0.7172508996453029,0.7178522587168045,0.7225920271973441,0.738560722865474
"1","4","STANDARD CHARTERED BANK","BFSI","BANGALORE","ROUTINE","FEMALE","BANGALORE","BANGALORE","BANGALORE","SINGLE","WALKIN","BANGALORE","FRESHER","1","1","1","1","1","1","1","7","Candidate 201",2,0.6604369117135871,0.6422115204298213,0.7014320769029505,0.6323847368513921,0.6310018386919637,0.7014320769029505,0.6971175411713025,0.7029026651382446,0.6571579842871809,0.5891095616899688,0.711235998471578,0.7029026651382446,0.7126532320316687,0.695042403129511,0.6832482374924563,0.6991332638078678,0.6989379074289935,0.6960593980300769,0.6967352642571873,0.7235599421335498
"1","4","STANDARD CHARTERED BANK","BFSI","BANGALORE","ROUTINE","FEMALE","BANGALORE","BANGALORE","BANGALORE","SINGLE","WALKIN","BANGALORE","FRESHER","1","1","1","1","1","1","1","7","Candidate 203",1,0.6693862311045329,0.6387113844787661,0.6853542949767885,0.620195292593206,0.6228746031975562,0.6853542949767885,0.6902195644378663,0.6930421450830275,0.6438805143059402,0.564123073209796,0.7170052787235806,0.6693862311045329,0.7212069593958494,0.7134633660907588,0.7084808813102942,0.7125316729973652,0.7122631329025966,0.7128644919740982,0.7176042604546378,0.7335729561227677
